Epoch: [1][1500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7247 (5.6482)	Prec@1 0.000 (0.725)	Prec@5 0.000 (3.104)
Epoch: [1][1600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6118 (5.6481)	Prec@1 3.125 (0.703)	Prec@5 6.250 (3.094)
Epoch: [1][1700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6109 (5.6468)	Prec@1 3.125 (0.694)	Prec@5 3.125 (3.097)
Epoch: [1][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6261 (5.6457)	Prec@1 0.000 (0.694)	Prec@5 3.125 (3.109)
Epoch: [1][1900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7115 (5.6449)	Prec@1 0.000 (0.700)	Prec@5 6.250 (3.143)
Epoch: [1][2000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5486 (5.6445)	Prec@1 0.000 (0.711)	Prec@5 0.000 (3.166)
Epoch: [2][0/2092]	Time 0.136 (0.136)	Data 0.128 (0.128)	Loss 5.5783 (5.5783)	Prec@1 3.125 (3.125)	Prec@5 6.250 (6.250)
Epoch: [2][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 5.6469 (5.6033)	Prec@1 0.000 (0.681)	Prec@5 0.000 (3.899)
Epoch: [2][200/2092]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.6414 (5.5998)	Prec@1 3.125 (0.995)	Prec@5 6.250 (3.887)
Epoch: [2][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6513 (5.5979)	Prec@1 3.125 (1.017)	Prec@5 6.250 (4.309)
Epoch: [2][400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5971 (5.5915)	Prec@1 0.000 (1.075)	Prec@5 0.000 (4.403)
Epoch: [2][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5037 (5.5864)	Prec@1 3.125 (1.160)	Prec@5 3.125 (4.528)
Epoch: [2][600/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.4854 (5.5798)	Prec@1 3.125 (1.180)	Prec@5 6.250 (4.643)
Epoch: [2][700/2092]	Time 0.015 (0.017)	Data 0.000 (0.000)	Loss 5.5498 (5.5711)	Prec@1 3.125 (1.186)	Prec@5 12.500 (4.716)
Epoch: [2][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4245 (5.5631)	Prec@1 6.250 (1.221)	Prec@5 9.375 (4.900)
